_id,route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
177,91,91,91 - BUTLER STREET,Ross,Bus,1/1/2017,201701,WEEKDAY,0.701,Clever
178,91,91,91 - BUTLER STREET,Ross,Bus,1/1/2017,201701,SAT.,0.7118,Clever
179,91,91,91 - BUTLER STREET,Ross,Bus,1/1/2017,201701,SUN.,0.632,Clever
180,93,93,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7045,Clever
181,G2,G2,G2 - WEST BUSWAY,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7742,Clever
182,G2,G2,G2 - WEST BUSWAY,Collier,Bus,1/1/2017,201701,SAT.,0.8087,Clever
183,G2,G2,G2 - WEST BUSWAY,Collier,Bus,1/1/2017,201701,SUN.,0.7965,Clever
184,G3,G3,G3 - MOON FLYER,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7174,Clever
185,G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7257,Clever
186,O1,O1,O1 - ROSS FLYER,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7959,Clever
187,O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7023,Clever
188,O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,1/1/2017,201701,WEEKDAY,0.63,Clever
189,P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.7889,Clever
190,P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,1/1/2017,201701,SAT.,0.8151,Clever
191,P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,1/1/2017,201701,SUN.,0.8549,Clever
192,P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6019,Clever
193,P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6134,Clever
194,P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,1/1/2017,201701,WEEKDAY,0.5522,Clever
195,P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.665,Clever
196,P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.7022,Clever
197,P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.8659,Clever
198,P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.8364,Clever
199,P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6427,Clever
200,P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.5861,Clever
201,P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6015,Clever
202,P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6532,Clever
203,P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6476,Clever
204,P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.5887,Clever
205,P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.5695,Clever
206,Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7423,Clever
207,Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7803,Clever
